iter	Passed	Remaining
0	188	150938
1	190	76120
2	193	51336
3	195	38924
4	198	31482
5	199	26402
6	200	22751
7	202	20001
8	203	17888
9	204	16178
10	206	14776
11	207	13604
12	208	12613
13	209	11764
14	210	11031
15	211	10387
16	213	9819
17	214	9313
18	215	8845
19	216	8438
20	217	8071
21	218	7736
22	219	7431
23	221	7150
24	222	6893
25	223	6655
26	224	6436
27	225	6230
28	227	6040
29	228	5862
30	229	5694
31	230	5542
32	232	5397
33	233	5259
34	234	5128
35	235	5004
36	237	4887
37	238	4776
38	239	4671
39	240	4571
40	241	4475
41	242	4384
42	244	4298
43	245	4219
44	246	4140
45	247	4064
46	249	3991
47	250	3921
48	251	3854
49	252	3790
50	253	3728
51	255	3669
52	256	3612
53	257	3558
54	258	3506
55	260	3458
56	261	3404
57	262	3357
58	263	3308
59	264	3265
60	266	3223
61	267	3182
62	268	3143
63	270	3105
64	271	3069
65	272	3033
66	274	2999
67	275	2966
68	276	2932
69	278	2900
70	279	2869
71	280	2839
72	282	2809
73	283	2781
74	284	2752
75	286	2725
76	287	2698
77	288	2673
78	290	2647
79	291	2623
80	292	2599
81	293	2570
82	294	2547
83	296	2524
84	297	2502
85	298	2481
86	300	2460
87	301	2439
88	303	2420
89	304	2401
90	305	2382
91	307	2363
92	308	2344
93	309	2326
94	311	2308
95	312	2291
96	313	2273
97	315	2256
98	316	2240
99	317	2224
100	319	2208
101	320	2192
102	321	2177
103	323	2162
104	324	2147
105	325	2132
106	327	2117
107	328	2103
108	329	2089
109	330	2076
110	332	2062
111	333	2049
112	334	2036
113	336	2023
114	337	2010
115	338	1998
116	340	1986
117	341	1973
118	342	1961
119	344	1950
120	345	1938
121	346	1927
122	348	1916
123	349	1905
124	350	1894
125	352	1884
126	353	1873
127	354	1863
128	356	1853
129	357	1842
130	358	1832
131	360	1822
132	362	1817
133	369	1838
134	376	1855
135	379	1852
136	381	1847
137	383	1840
138	385	1834
139	387	1828
140	390	1825
141	393	1821
142	395	1817
143	397	1812
144	400	1807
145	402	1802
146	404	1797
147	407	1793
148	410	1791
149	413	1790
150	417	1795
151	423	1806
152	433	1831
153	436	1830
154	438	1826
155	441	1822
156	444	1819
157	447	1818
158	450	1816
159	455	1822
160	457	1816
161	459	1809
162	461	1803
163	463	1796
164	465	1790
165	467	1786
166	470	1784
167	472	1778
168	474	1773
169	476	1767
170	479	1762
171	481	1756
172	485	1758
173	488	1757
174	491	1756
175	495	1756
176	501	1764
177	505	1765
178	508	1765
179	512	1764
180	517	1770
181	521	1769
182	524	1768
183	528	1768
184	535	1778
185	538	1778
186	542	1779
187	547	1782
188	550	1778
189	552	1774
190	555	1770
191	557	1766
192	560	1762
193	563	1760
194	566	1756
195	568	1752
196	571	1747
197	573	1744
198	577	1743
199	579	1738
200	582	1734
201	584	1730
202	587	1728
203	590	1726
204	594	1726
205	597	1723
206	600	1719
207	602	1715
208	605	1711
209	608	1710
210	611	1706
211	613	1702
212	616	1698
213	618	1694
214	621	1690
215	625	1691
216	628	1687
217	630	1684
218	633	1679
219	635	1676
220	639	1674
221	642	1672
222	644	1668
223	647	1664
224	649	1660
225	652	1657
226	655	1654
227	657	1650
228	660	1646
229	662	1642
230	665	1638
231	668	1635
232	670	1632
233	673	1628
234	675	1624
235	678	1620
236	680	1617
237	683	1613
238	685	1609
239	688	1606
240	690	1602
241	693	1598
242	695	1594
243	698	1591
244	701	1588
245	703	1584
246	706	1580
247	708	1576
248	710	1573
249	713	1569
250	715	1565
251	718	1562
252	720	1558
253	723	1555
254	726	1552
255	728	1548
256	731	1544
257	733	1541
258	736	1537
259	738	1533
260	741	1531
261	744	1528
262	747	1526
263	749	1522
264	752	1519
265	754	1515
266	757	1511
267	759	1508
268	765	1511
269	769	1510
270	772	1507
271	774	1503
272	777	1500
273	780	1497
274	782	1493
275	785	1490
276	787	1486
277	789	1483
278	792	1480
279	795	1477
280	798	1473
281	800	1470
282	803	1467
283	805	1463
284	808	1460
